Final Fantasy Tactics;85.0;ps,;rpg,tactical,;17;2008-12-09
Call Of Juarez: Bound In Blood;79.0;pc,ps,xbox,;fps,adventure,;94;2000-01-27
Total War: Shogun 2;84.0;pc,;tactical,;52;2004-10-31
The Chronicles of Riddick: Assault on Dark Athena;81.0;pc,ps,xbox,;fps,;31;2011-02-18
Medieval: Total War;85.0;pc,;tactical,;86;2008-04-30
Empire: Total War;80.0;pc,;tactical,;20;2004-03-22
Napoleon: Total War;80.0;pc,;tactical,;74;2013-08-16
Shogun: Total War - Mongol Invasion;85.0;pc,;tactical,;73;2016-10-17
Rome: Total War - Barbarian Invasion;81.0;pc,;tactical,;56;2003-10-15
Operation Flashpoint: Resistance;76.0;pc,xbox,;fps,;70;2015-04-22
Blackthorne;77.0;pc,;adventure,;25;2006-06-04
Commandos 3: Destination Berlin;76.0;pc,;tactical,;80;2009-06-19
Silent Hill 3;84.0;pc,ps,;adventure,;12;2008-10-26
Silent Hill: Origins;75.0;ps,;adventure,;56;2005-02-24
Silent Hill Homecoming;69.0;pc,ps,xbox,;adventure,;61;2013-08-01
Kane & Lynch 2: Dog Days;69.0;pc,ps,xbox,;fps,adventure,;71;2014-07-26
Rift;78.0;pc,;rpg,;14;2016-12-28
Borderlands;81.0;pc,ps,xbox,;fps,rpg,;34;2002-02-10
I Am Alive;73.0;pc,ps,;adventure,;99;2001-06-12
Rage;79.0;pc,ps,xbox,;fps,racing,;89;2013-09-16
F.E.A.R.;80.0;pc,ps,xbox,;fps,;18;2001-08-26
F.E.A.R. 2: Project Origin;77.0;pc,ps,xbox,;fps,;96;2004-10-15
Need for Speed: The Run;68.0;pc,ps,xbox,;racing,;10;2013-04-06
Hitman: Absolution;78.0;pc,ps,xbox,;fps,tactical,;6;2014-09-25
Lego Pirates of the Caribbean: The Video Game;73.0;pc,ps,xbox,;adventure,;88;2011-08-01
Driver: San Francisco;78.0;pc,ps,xbox,;racing,;20;2008-03-11
Transformers: War for Cybertron;72.0;pc,ps,xbox,;fps,;44;2005-01-26
